shop_num,num_cash_desk,dt,doc_id,item,category,amount,price,discount
1,1,2026-06-04,238480985a,Полотенце вафельное,текстиль,2,7926.03,275.68
1,1,2026-06-04,238480985a,Отбеливатель,бытовая химия,10,253.09,64.61
1,1,2026-06-04,238480985a,Настенные часы,декор и интерьер,4,7822.56,1641.6
1,1,2026-06-04,238480985a,Настенные часы,декор и интерьер,6,4313.26,949.17
1,1,2026-06-04,238480985a,Контейнер пластиковый,хранение,1,6872.72,700.41
1,1,2026-06-04,238480985a,Таз,инвентарь для уборки,2,2615.68,323.71
1,1,2026-06-04,238480985a,Органайзер для специй,хранение,7,5923.02,1638.76
1,1,2026-06-04,238480985a,Тряпка,инвентарь для уборки,7,1666.53,482.26
1,1,2026-06-04,238480985a,Наволочка,текстиль,2,6279.7,1747.05
1,1,2026-06-04,2bca157362,Ваза стеклянная,декор и интерьер,6,2037.25,56.34
1,1,2026-06-04,2bca157362,Пододеяльник,текстиль,4,9173.07,277.42
1,1,2026-06-04,2bca157362,Пододеяльник,текстиль,2,821.93,242.81
1,1,2026-06-04,2bca157362,Швабра с отжимом,инвентарь для уборки,1,7063.51,1262.69
1,1,2026-06-04,2bca157362,Вакуумный пакет,хранение,6,4879.43,1150.65
1,1,2026-06-04,2bca157362,Пододеяльник,текстиль,9,1653.67,77.85
1,1,2026-06-04,2bca157362,Щетка,инвентарь для уборки,9,5512.26,984.79
1,1,2026-06-04,2bca157362,Тарелка глубокая,посуда,5,5982.48,1196.83
1,1,2026-06-04,2bca157362,Фоторамка 10х15,декор и интерьер,1,273.69,13.72
1,1,2026-06-04,2bca157362,Коврик резиновый,товары для ванной,1,9046.48,1344.6
1,1,2026-06-04,2bca157362,Шторка для душа,товары для ванной,6,1680.43,461.76
1,1,2026-06-04,2bca157362,Пододеяльник,текстиль,10,1516.12,429.99
1,1,2026-06-04,2bca157362,Скребок для окон,инвентарь для уборки,7,486.5,15.58
1,1,2026-06-04,2bca157362,Тряпка,инвентарь для уборки,1,4166.03,954.37
1,1,2026-06-04,2bca157362,Коврик резиновый,товары для ванной,2,5647.19,690.76
1,1,2026-06-04,49ca5c5e44,Стакан для зубных щеток,товары для ванной,9,5164.2,960.9
1,1,2026-06-04,49ca5c5e44,Лопатка силиконовая,кухонная утварь,9,612.68,82.12
1,1,2026-06-04,49ca5c5e44,Контейнер пластиковый,хранение,6,4336.75,796.01
1,1,2026-06-04,49ca5c5e44,Наволочка,текстиль,8,6989.76,517.04
1,1,2026-06-04,49ca5c5e44,Кондиционер,бытовая химия,1,4814.75,1226.98
1,1,2026-06-04,49ca5c5e44,Фоторамка 10х15,декор и интерьер,10,8973.46,708.77
1,1,2026-06-04,49ca5c5e44,Ложка столовая,посуда,6,9252.29,249.28
1,1,2026-06-04,49ca5c5e44,Скатерть,текстиль,3,6800.45,718.7
1,1,2026-06-04,49ca5c5e44,Щетка,инвентарь для уборки,10,7584.16,439.75
1,1,2026-06-04,49ca5c5e44,Держатель для туалетной бумаги,товары для ванной,5,3274.26,845.14
1,1,2026-06-04,49ca5c5e44,Вешалка,хранение,5,3688.67,710.91
1,1,2026-06-04,49ca5c5e44,Ложка столовая,посуда,3,6713.58,1316.75
1,1,2026-06-04,49ca5c5e44,Салатник стеклянный,посуда,7,2501.23,197.46
1,1,2026-06-04,49ca5c5e44,Коврик резиновый,товары для ванной,2,6367.13,1241.5
1,1,2026-06-04,49ca5c5e44,Держатель для туалетной бумаги,товары для ванной,3,9853.94,282.63
1,1,2026-06-04,b509d09b61,Настенные часы,декор и интерьер,1,9618.17,789.06
1,1,2026-06-04,b509d09b61,Ложка столовая,посуда,5,5616.67,423.49
1,1,2026-06-04,b509d09b61,Наволочка,текстиль,8,1985.69,101.15
1,1,2026-06-04,b509d09b61,Салатник стеклянный,посуда,4,8239.25,951.82
1,1,2026-06-04,b509d09b61,Вакуумный пакет,хранение,5,6678.45,189.15
1,1,2026-06-04,2a2c3d2ebc,Швабра с отжимом,инвентарь для уборки,3,9521.73,1686.25
1,1,2026-06-04,2a2c3d2ebc,Лопатка силиконовая,кухонная утварь,10,5991.51,697.85
1,1,2026-06-04,2a2c3d2ebc,Кружка керамическая,посуда,7,4472.51,64.49
1,1,2026-06-04,2a2c3d2ebc,Держатель для туалетной бумаги,товары для ванной,8,3204.68,19.69
1,1,2026-06-04,2a2c3d2ebc,Вакуумный пакет,хранение,9,4096.84,168.44
1,1,2026-06-04,497a8c9649,Свеча декоративная,декор и интерьер,2,8307.65,67.41
1,1,2026-06-04,497a8c9649,Кружка керамическая,посуда,6,4048.43,160.39
1,1,2026-06-04,497a8c9649,Вешалка,хранение,1,9846.3,2127.15
1,1,2026-06-04,497a8c9649,Вешалка,хранение,8,5330.88,124.02
1,1,2026-06-04,497a8c9649,Сковорода антипригарная,кухонная утварь,6,5939.69,546.95
1,1,2026-06-04,497a8c9649,Подсвечник керамический,декор и интерьер,1,8824.3,1677.76
1,1,2026-06-04,497a8c9649,Настенные часы,декор и интерьер,4,7256.42,1544.17
1,1,2026-06-04,497a8c9649,Вешалка,хранение,3,1303.69,279.06
1,1,2026-06-04,497a8c9649,Простыня на резинке,текстиль,1,6356.16,1144.08
1,1,2026-06-04,497a8c9649,Свеча декоративная,декор и интерьер,4,4787.72,1024.22
1,1,2026-06-04,fe32cfb8cb,Свеча декоративная,декор и интерьер,6,2267.06,171.55
1,1,2026-06-04,fe32cfb8cb,Корзина для белья,хранение,7,7159.6,237.68
1,1,2026-06-04,fe32cfb8cb,Держатель для туалетной бумаги,товары для ванной,9,7359.47,611.13
1,1,2026-06-04,fe32cfb8cb,Средство для мытья окон,бытовая химия,3,4769.17,568.32
1,1,2026-06-04,fe32cfb8cb,Гель для посуды,бытовая химия,8,2880.64,504.25
1,1,2026-06-04,fe32cfb8cb,Настенные часы,декор и интерьер,8,3861.7,101.64
1,1,2026-06-04,fe32cfb8cb,Пододеяльник,текстиль,7,1579.55,186.17
1,1,2026-06-04,13664ae891,Кондиционер,бытовая химия,7,6110.12,1006.66
1,1,2026-06-04,13664ae891,Корзина для белья,хранение,10,5133.19,1145.6
1,1,2026-06-04,13664ae891,Сковорода антипригарная,кухонная утварь,10,2128.51,360.68
1,1,2026-06-04,88c15eadb5,Коврик резиновый,товары для ванной,5,4726.69,1145.37
1,1,2026-06-04,88c15eadb5,Доска разделочная,кухонная утварь,3,4311.56,175.56
1,1,2026-06-04,88c15eadb5,Стакан граненый,посуда,7,5729.48,470.27
1,1,2026-06-04,88c15eadb5,Салатник стеклянный,посуда,10,4172.6,1039.11
1,1,2026-06-04,88c15eadb5,Гель для посуды,бытовая химия,5,2890.12,85.7
1,1,2026-06-04,88c15eadb5,Мыльница пластиковая,товары для ванной,7,8626.36,1754.97
