shop_num,num_cash_desk,dt,doc_id,item,category,amount,price,discount
6,1,2026-06-04,5d468dfa43,Доска разделочная,кухонная утварь,8,518.95,88.64
6,1,2026-06-04,9a44c6d76a,Кружка керамическая,посуда,2,578.49,87.27
6,1,2026-06-04,ec106e15b0,Подсвечник керамический,декор и интерьер,9,5321.79,605.05
6,1,2026-06-04,ec106e15b0,Корзина для белья,хранение,1,7055.39,1508.28
6,1,2026-06-04,ec106e15b0,Фоторамка 10х15,декор и интерьер,1,9500.86,2533.5
6,1,2026-06-04,ec106e15b0,Шторка для душа,товары для ванной,6,4527.81,1109.81
6,1,2026-06-04,ec106e15b0,Пододеяльник,текстиль,10,6455.61,1617.27
6,1,2026-06-04,ec106e15b0,Контейнер пластиковый,хранение,5,1280.18,142.84
6,1,2026-06-04,ec106e15b0,Лопатка силиконовая,кухонная утварь,8,6972.23,351.63
6,1,2026-06-04,ec106e15b0,Терка,кухонная утварь,9,550.19,72.99
6,1,2026-06-04,ec106e15b0,Ваза стеклянная,декор и интерьер,7,4652.86,1197.5
6,1,2026-06-04,ec106e15b0,Отбеливатель,бытовая химия,7,7807.1,340.76
6,1,2026-06-04,ec106e15b0,Терка,кухонная утварь,3,4645.32,521.06
6,1,2026-06-04,ec106e15b0,Держатель для туалетной бумаги,товары для ванной,7,2665.35,535.04
6,1,2026-06-04,ec106e15b0,Салатник стеклянный,посуда,2,5591.83,879.93
6,1,2026-06-04,ec106e15b0,Пододеяльник,текстиль,5,2960.77,750.27
6,1,2026-06-04,ec106e15b0,Коврик резиновый,товары для ванной,7,7076.06,926.34
6,1,2026-06-04,963f553e9e,Кружка керамическая,посуда,8,5932.83,629.61
6,1,2026-06-04,963f553e9e,Фоторамка 10х15,декор и интерьер,9,4276.76,994.76
6,1,2026-06-04,963f553e9e,Вакуумный пакет,хранение,4,4760.06,759.02
6,1,2026-06-04,963f553e9e,Терка,кухонная утварь,7,4937.26,1091.56
6,1,2026-06-04,963f553e9e,Настенные часы,декор и интерьер,6,1075.37,103.23
6,1,2026-06-04,963f553e9e,Сковорода антипригарная,кухонная утварь,7,7834.03,949.44
6,1,2026-06-04,963f553e9e,Скатерть,текстиль,8,7703.14,822.92
6,1,2026-06-04,963f553e9e,Коврик резиновый,товары для ванной,9,1695.62,169.94
6,1,2026-06-04,963f553e9e,Наволочка,текстиль,8,1486.8,279.79
6,1,2026-06-04,963f553e9e,Кондиционер,бытовая химия,10,6339.18,353.75
6,1,2026-06-04,963f553e9e,Корзина для белья,хранение,4,9525.76,2049.67
6,1,2026-06-04,963f553e9e,Отбеливатель,бытовая химия,9,2597.53,399.64
6,1,2026-06-04,963f553e9e,Простыня на резинке,текстиль,5,2885.71,556.93
6,1,2026-06-04,963f553e9e,Доска разделочная,кухонная утварь,5,9044.8,1379.78
6,1,2026-06-04,963f553e9e,Корзина для белья,хранение,2,8138.74,521.37
6,1,2026-06-04,084751e1f9,Вешалка,хранение,10,3970.11,115.51
6,1,2026-06-04,084751e1f9,Гель для посуды,бытовая химия,4,4652.45,1044.35
6,1,2026-06-04,084751e1f9,Ложка столовая,посуда,5,6274.56,1809.86
6,1,2026-06-04,084751e1f9,Мыльница пластиковая,товары для ванной,5,6323.78,933.3
6,1,2026-06-04,084751e1f9,Вакуумный пакет,хранение,1,6430.43,604.15
6,1,2026-06-04,084751e1f9,Свеча декоративная,декор и интерьер,10,6193.0,1746.06
6,1,2026-06-04,084751e1f9,Вешалка,хранение,1,6084.02,560.07
6,1,2026-06-04,627a7e15c1,Шторка для душа,товары для ванной,6,3167.15,518.15
6,1,2026-06-04,627a7e15c1,Таз,инвентарь для уборки,2,5169.98,991.26
6,1,2026-06-04,627a7e15c1,Гель для посуды,бытовая химия,6,2295.82,285.62
6,1,2026-06-04,627a7e15c1,Корзина для белья,хранение,5,3604.13,161.22
6,1,2026-06-04,627a7e15c1,Стакан граненый,посуда,9,6720.78,627.88
6,1,2026-06-04,627a7e15c1,Ложка столовая,посуда,2,5394.18,439.03
6,1,2026-06-04,627a7e15c1,Настенные часы,декор и интерьер,8,270.04,65.02
6,1,2026-06-04,627a7e15c1,Ложка столовая,посуда,1,7291.77,265.83
6,1,2026-06-04,627a7e15c1,Ваза стеклянная,декор и интерьер,10,1664.78,256.76
6,1,2026-06-04,627a7e15c1,Швабра с отжимом,инвентарь для уборки,4,2411.56,254.36
6,1,2026-06-04,dd0fb031a3,Гель для посуды,бытовая химия,4,6859.31,181.17
6,1,2026-06-04,dd0fb031a3,Мыльница пластиковая,товары для ванной,7,3781.65,444.2
6,1,2026-06-04,dd0fb031a3,Держатель для туалетной бумаги,товары для ванной,1,8810.85,2605.96
6,1,2026-06-04,dd0fb031a3,Средство для мытья окон,бытовая химия,5,1424.0,95.06
6,1,2026-06-04,dd0fb031a3,Мыльница пластиковая,товары для ванной,2,2332.9,28.3
6,1,2026-06-04,dd0fb031a3,Лопатка силиконовая,кухонная утварь,9,2446.07,471.89
6,1,2026-06-04,dd0fb031a3,Настенные часы,декор и интерьер,2,2520.26,229.96
6,1,2026-06-04,706a893830,Настенные часы,декор и интерьер,10,5241.49,1350.43
6,1,2026-06-04,706a893830,Таз,инвентарь для уборки,9,5510.63,873.93
6,1,2026-06-04,706a893830,Свеча декоративная,декор и интерьер,1,3670.13,998.78
6,1,2026-06-04,706a893830,Полотенце вафельное,текстиль,8,4402.61,1092.01
6,1,2026-06-04,706a893830,Мыльница пластиковая,товары для ванной,8,8505.64,223.45
6,1,2026-06-04,706a893830,Тарелка глубокая,посуда,6,680.18,101.78
6,1,2026-06-04,ff3043bdc1,Скатерть,текстиль,2,8585.74,2014.7
